EM,EN,unicode,label,strategy,image,predicted_label,generated_text
🤑👨‍🦰💰,big tipper,U+1F911 U+1F468 U+200D U+1F9B0 U+1F4B0,1,1,./generated_img_dataset/test_google/52.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
💵💵,big tipper,U+1F4B5 U+1F4B5,1,3,./generated_img_dataset/test_google/53.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
💸💸💸,big tipper,U+1F4B8 U+1F4B8 U+1F4B8,1,3,./generated_img_dataset/test_google/54.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
👍💸,big tipper,U+1F44D U+1F4B8,1,1,./generated_img_dataset/test_google/55.png,1,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: yes.
❗📆,big day,U+2757 U+1F4C6,1,0,./generated_img_dataset/test_google/56.png,1,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: yes.
👰💒🤵‍♂️,big day,U+1F470 U+1F492 U+1F935 U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/test_google/57.png,1,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: yes.
👩‍❤️‍👨👰,big day,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468 U+1F470,1,1,./generated_img_dataset/test_google/58.png,1,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: yes.
😰☀️,big day,U+1F630 U+2600 U+FE0F,1,1,./generated_img_dataset/test_google/59.png,0,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: no.
👰‍♂️👰‍♀️🤵‍♂️🤵‍♀️,big day,U+1F470 U+200D U+2642 U+FE0F U+1F470 U+200D U+2640 U+FE0F U+1F935 U+200D U+2642 U+FE0F U+1F935 U+200D U+2640 U+FE0F,1,1,./generated_img_dataset/test_google/60.png,1,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: yes.
🥇☀️,big day,U+1F947 U+2600 U+FE0F,1,1,./generated_img_dataset/test_google/61.png,1,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: yes.
😵😵😵,big day,U+1F635 U+1F635 U+1F635,1,1,./generated_img_dataset/test_google/62.png,0,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: no.
🗓️,big day,U+1F5D3 U+FE0F,1,4,./generated_img_dataset/test_google/63.png,1,user:  does this emoji sequence mean 'big day'? answer yes or no. assistant: yes.
🥵👧,hot doll,U+1F975 U+1F467,1,0,./generated_img_dataset/test_google/64.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
🪆🔥🔥,hot doll,U+1FA86 U+1F525 U+1F525,1,0,./generated_img_dataset/test_google/65.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
💅👱‍♀️,hot doll,U+1F485 U+1F471 U+200D U+2640 U+FE0F,1,1,./generated_img_dataset/test_google/66.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
🔥🪆,hot doll,U+1F525 U+1FA86,1,0,./generated_img_dataset/test_google/67.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
1️⃣🪆🎎,hot doll,U+31 U+FE0F U+20E3 U+1FA86 U+1F38E,1,1,./generated_img_dataset/test_google/68.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
🔥🧸,hot doll,U+1F525 U+1F9F8,1,0,./generated_img_dataset/test_google/69.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
♨️🪆,hot doll,U+2668 U+FE0F U+1FA86,1,0,./generated_img_dataset/test_google/70.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
🥵🧸,hot doll,U+1F975 U+1F9F8,1,0,./generated_img_dataset/test_google/71.png,0,user:  does this emoji sequence mean 'hot doll'? answer yes or no. assistant: no.
♨️💦,hot water,U+2668 U+FE0F U+1F4A6,1,0,./generated_img_dataset/test_google/72.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
🥵🚰,hot water,U+1F975 U+1F6B0,1,0,./generated_img_dataset/test_google/73.png,0,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: no.
♨️💧,hot water,U+2668 U+FE0F U+1F4A7,1,0,./generated_img_dataset/test_google/74.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
🔥💦,hot water,U+1F525 U+1F4A6,1,0,./generated_img_dataset/test_google/75.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
♨️💧🚰,hot water,U+2668 U+FE0F U+1F4A7 U+1F6B0,1,0,./generated_img_dataset/test_google/76.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
♨️🚰,hot water,U+2668 U+FE0F U+1F6B0,1,0,./generated_img_dataset/test_google/77.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
♨️💧,hot water,U+2668 U+FE0F U+1F4A7,1,0,./generated_img_dataset/test_google/78.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
📛💦,hot water,U+1F4DB U+1F4A6,1,0,./generated_img_dataset/test_google/79.png,1,user:  does this emoji sequence mean 'hot water'? answer yes or no. assistant: yes.
🌡️♨️🍳,hot stove,U+1F321 U+FE0F U+2668 U+FE0F U+1F373,1,0,./generated_img_dataset/test_google/80.png,1,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: yes.
♨️🍳,hot stove,U+2668 U+FE0F U+1F373,1,0,./generated_img_dataset/test_google/81.png,1,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: yes.
♨️🎛️🔥,hot stove,U+2668 U+FE0F U+1F39B U+FE0F U+1F525,1,0,./generated_img_dataset/test_google/82.png,1,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: yes.
🔥🍳,hot stove,U+1F525 U+1F373,1,0,./generated_img_dataset/test_google/83.png,0,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: no.
🥵🍳🔥,hot stove,U+1F975 U+1F373 U+1F525,1,0,./generated_img_dataset/test_google/84.png,0,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: no.
♨️🔥,hot stove,U+2668 U+FE0F U+1F525,1,0,./generated_img_dataset/test_google/85.png,1,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: yes.
🔥♨️,hot stove,U+1F525 U+2668 U+FE0F,1,0,./generated_img_dataset/test_google/86.png,1,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: yes.
📛🌡️🫕,hot stove,U+1F4DB U+1F321 U+FE0F U+1FAD5,1,0,./generated_img_dataset/test_google/87.png,1,user:  does this emoji sequence mean 'hot stove'? answer yes or no. assistant: yes.
🔥🔊🗣️🗣️🤔🤔👍👎,hot topic,U+1F525 U+1F50A U+1F5E3 U+FE0F U+1F5E3 U+FE0F U+1F914 U+1F914 U+1F44D U+1F44E,1,1,./generated_img_dataset/test_google/88.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🤩💬,hot topic,U+1F929 U+1F4AC,1,1,./generated_img_dataset/test_google/89.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
☀️🎙️🗣️,hot topic,U+2600 U+FE0F U+1F399 U+FE0F U+1F5E3 U+FE0F,1,0,./generated_img_dataset/test_google/90.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🔥🔥🔥🔥📰,hot topic,U+1F525 U+1F525 U+1F525 U+1F525 U+1F4F0,1,0,./generated_img_dataset/test_google/91.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🔥💬,hot topic,U+1F525 U+1F4AC,1,0,./generated_img_dataset/test_google/92.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🔥🗣️,hot topic,U+1F525 U+1F5E3 U+FE0F,1,0,./generated_img_dataset/test_google/93.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🔥🗣️,hot topic,U+1F525 U+1F5E3 U+FE0F,1,0,./generated_img_dataset/test_google/94.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🥵💬,hot topic,U+1F975 U+1F4AC,1,0,./generated_img_dataset/test_google/95.png,0,user:  does this emoji sequence mean 'hot topic'? answer yes or no. assistant: no.
🔥👀✋🤚🙏🥺💰,hot merchandise,U+1F525 U+1F440 U+270B U+1F91A U+1F64F U+1F97A U+1F4B0,1,1,./generated_img_dataset/test_google/96.png,0,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: no.
🔥🔥👕🥿🕶️,hot merchandise,U+1F525 U+1F525 U+1F455 U+1F97F U+1F576 U+FE0F,1,0,./generated_img_dataset/test_google/97.png,0,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: no.
🔥🎁🎁,hot merchandise,U+1F525 U+1F381 U+1F381,1,0,./generated_img_dataset/test_google/98.png,1,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: yes.
🔥🏷️,hot merchandise,U+1F525 U+1F3F7 U+FE0F,1,0,./generated_img_dataset/test_google/99.png,1,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: yes.
🔥🛍️🧸👕👗✏️📔,hot merchandise,U+1F525 U+1F6CD U+FE0F U+1F9F8 U+1F455 U+1F457 U+270F U+FE0F U+1F4D4,1,0,./generated_img_dataset/test_google/100.png,0,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: no.
🔥📱,hot merchandise,U+1F525 U+1F4F1,1,0,./generated_img_dataset/test_google/101.png,0,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: no.
🗨️👕,hot merchandise,U+1F5E8 U+FE0F U+1F455,1,1,./generated_img_dataset/test_google/102.png,0,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: no.
👍🧸👕,hot merchandise,U+1F44D U+1F9F8 U+1F455,1,0,./generated_img_dataset/test_google/103.png,0,user:  does this emoji sequence mean 'hot merchandise'? answer yes or no. assistant: no.
🔥😐:pouting_face:,hot temper,U+1F525 U+1F610 U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A,1,0,./generated_img_dataset/test_google/104.png,0,<SKIPPED_OR_ERROR>
😤🤬🙅‍♂️🙅‍♂️,hot temper,U+1F624 U+1F92C U+1F645 U+200D U+2642 U+FE0F U+1F645 U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/test_google/105.png,0,user:  does this emoji sequence mean 'hot temper'? answer yes or no. assistant: no.
:pouting_face::pouting_face:,hot temper,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A,1,3,./generated_img_dataset/test_google/106.png,0,<SKIPPED_OR_ERROR>
:pouting_face:😤🤬,hot temper,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F624 U+1F92C,1,2,./generated_img_dataset/test_google/107.png,0,<SKIPPED_OR_ERROR>
:pouting_face:😤,hot temper,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F624,1,2,./generated_img_dataset/test_google/108.png,0,<SKIPPED_OR_ERROR>
🔥:pouting_face:,hot temper,U+1F525 U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A,1,0,./generated_img_dataset/test_google/109.png,0,<SKIPPED_OR_ERROR>
💢🤬,hot temper,U+1F4A2 U+1F92C,1,1,./generated_img_dataset/test_google/110.png,0,user:  does this emoji sequence mean 'hot temper'? answer yes or no. assistant: no.
:pouting_face:🤬,hot temper,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F92C,1,2,./generated_img_dataset/test_google/111.png,0,<SKIPPED_OR_ERROR>
🔥🗣️✖️🗣️✔️📢,hot argument,U+1F525 U+1F5E3 U+FE0F U+2716 U+FE0F U+1F5E3 U+FE0F U+2714 U+FE0F U+1F4E2,1,0,./generated_img_dataset/test_google/112.png,0,user:  does this emoji sequence mean 'hot argument'? answer yes or no. assistant: no.
🙅🙅‍♂️😤🗯️,hot argument,U+1F645 U+1F645 U+200D U+2642 U+FE0F U+1F624 U+1F5EF U+FE0F,1,1,./generated_img_dataset/test_google/113.png,1,user:  does this emoji sequence mean 'hot argument'? answer yes or no. assistant: yes.
:pouting_face:🤬🗣️,hot argument,U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A U+1F92C U+1F5E3 U+FE0F,1,0,./generated_img_dataset/test_google/114.png,0,<SKIPPED_OR_ERROR>
🤬🗣️📣,hot argument,U+1F92C U+1F5E3 U+FE0F U+1F4E3,1,0,./generated_img_dataset/test_google/115.png,0,user:  does this emoji sequence mean 'hot argument'? answer yes or no. assistant: no.
🤬💬:pouting_face:,hot argument,U+1F92C U+1F4AC U+3A U+70 U+6F U+75 U+74 U+69 U+6E U+67 U+5F U+66 U+61 U+63 U+65 U+3A,1,0,./generated_img_dataset/test_google/116.png,0,<SKIPPED_OR_ERROR>
🔥🤬,hot argument,U+1F525 U+1F92C,1,0,./generated_img_dataset/test_google/117.png,0,user:  does this emoji sequence mean 'hot argument'? answer yes or no. assistant: no.
💢🗣️,hot argument,U+1F4A2 U+1F5E3 U+FE0F,1,0,./generated_img_dataset/test_google/118.png,0,user:  does this emoji sequence mean 'hot argument'? answer yes or no. assistant: no.
🤬💬,hot argument,U+1F92C U+1F4AC,1,0,./generated_img_dataset/test_google/119.png,0,user:  does this emoji sequence mean 'hot argument'? answer yes or no. assistant: no.
☀️🤒🌡️😷😴🥶,hot forehead,U+2600 U+FE0F U+1F912 U+1F321 U+FE0F U+1F637 U+1F634 U+1F976,1,1,./generated_img_dataset/test_google/120.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
🥴🤒👨‍⚕️,hot forehead,U+1F974 U+1F912 U+1F468 U+200D U+2695 U+FE0F,1,1,./generated_img_dataset/test_google/121.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
🔥🤒🌡️,hot forehead,U+1F525 U+1F912 U+1F321 U+FE0F,1,1,./generated_img_dataset/test_google/122.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
🥵🤒🤒,hot forehead,U+1F975 U+1F912 U+1F912,1,1,./generated_img_dataset/test_google/123.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
🌡️🤒,hot forehead,U+1F321 U+FE0F U+1F912,1,1,./generated_img_dataset/test_google/124.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
♨️🤯,hot forehead,U+2668 U+FE0F U+1F92F,1,1,./generated_img_dataset/test_google/125.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
🩺🤒,hot forehead,U+1FA7A U+1F912,1,1,./generated_img_dataset/test_google/126.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
🤒🤕,hot forehead,U+1F912 U+1F915,1,1,./generated_img_dataset/test_google/127.png,0,user:  does this emoji sequence mean 'hot forehead'? answer yes or no. assistant: no.
💯🆓🎮,full game,U+1F4AF U+1F193 U+1F3AE,1,0,./generated_img_dataset/test_google/128.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
🎯🏀,full game,U+1F3AF U+1F3C0,1,0,./generated_img_dataset/test_google/129.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
🎮💯,full game,U+1F3AE U+1F4AF,1,0,./generated_img_dataset/test_google/130.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
🎮🏁,full game,U+1F3AE U+1F3C1,1,0,./generated_img_dataset/test_google/131.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
👍🎮,full game,U+1F44D U+1F3AE,1,0,./generated_img_dataset/test_google/132.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
🕛👾,full game,U+1F55B U+1F47E,1,0,./generated_img_dataset/test_google/133.png,0,user:  does this emoji sequence mean 'full game'? answer yes or no. assistant: no.
