sent1,sent2,label,strategy
🤏🚢,short smokestack,1,0
🤏🚬📦,short smokestack,1,0
🩳🔌,short supply,1,0
🤏💡⚡,short supply,1,0
❌✏️🪓🔧,short supply,1,0
❎🚰,short supply,1,0
⏬🧥👚👕👖,short supply,1,0
‼️⚠️🍞,short supply,1,0
🛖❌,short supply,1,0
🤏📦,short supply,1,0
🩳💵,short money,1,0
🤏💲,short money,1,0
❌💰,short money,1,0
❎💰,short money,1,0
🤷💸💸💸,short money,1,1
🤏💵,short money,1,0
💰💸😔,short money,1,1
🤏💷,short money,1,0
🩳✈️,short flight,1,0
🥲✈️,short flight,1,1
⏳✈️,short flight,1,0
⏳✈️,short flight,1,0
⏳✈️🛫🛬,short flight,1,0
🤏✈️,short flight,1,0
🛫🤏⌛🛬,short flight,1,1
🛫🛬,short flight,1,1
🩳🗓️,short month,1,0
🤏📅,short month,1,0
⏳🗓️,short month,1,0
⌛🗓️,short month,1,0
⏳🗓️📅,short month,1,0
🔜📅,short month,1,0
🤏⌛🗓️,short month,1,0
⌛📅,short month,1,0
🩳📖,short story,1,0
🤏📙📖,short story,1,0
⏳📕,short story,1,0
⌛📔,short story,1,0
⌚📖,short story,1,0
🤏🗣️,short story,1,0
🤏🗣️📖,short story,1,0
⌛📖,short story,1,0
🩳👽,short life,1,0
🤏☠️,short life,1,0
⏳🕐👩‍🦳🧓,short life,1,1
👋😀⌛,short life,1,1
⏳🫀💓,short life,1,1
👨‍👩‍👧‍👧👉💀👨‍👩‍👧,short life,1,1
👶🧓⚰️⌛🤏,short life,1,1
⌛⚰️,short life,1,1
👎📝,dirty job,1,0
💩🧹,dirty job,1,0
🪠🚽🧹,dirty job,1,1
🦠💣🦹‍♂️🦠🦹💣🦠,dirty job,1,1
🤮🤢👷‍♂️,dirty job,1,0
💩💼,dirty job,1,0
🤢🧳,dirty job,1,0
🚽👷🛠️,dirty job,1,1
👎🦶,dirty foot,1,0
🤢🦶,dirty foot,1,0
🥵🦶💩,dirty foot,1,0
🧼🦶,dirty foot,1,1
🤮🦶,dirty foot,1,0
💩👣,dirty foot,1,0
😖🦶,dirty foot,1,0
👃🦶🤢,dirty foot,1,1
👎🐟,dirty dish,1,0
🍽️🪰,dirty dish,1,1
🍽️😰👎,dirty dish,1,1
🧼🍽️,dirty dish,1,1
🤮🍽️,dirty dish,1,0
💩🍽️,dirty dish,1,0
🤮🍽️,dirty dish,1,0
🧼🍽️🧫,dirty dish,1,1
👎🏚️,dirty slum,1,0
🪰🏠,dirty slum,1,1
🦠🛖🦠,dirty slum,1,0
🧼🦠🏚️,dirty slum,1,1
🤮🛖,dirty slum,1,0
💩💸🏠,dirty slum,1,0
🥴🧟‍♂️,dirty slum,1,1
😣🔞💸,dirty slum,1,1
👎📝,dirty work,1,0
🚔📃,dirty work,1,1
🪠🚽🧹💰👵👴,dirty work,1,1
🦠💼,dirty work,1,1
🤮🛠️,dirty work,1,0
💩⛑️💼,dirty work,1,0
😒🧳,dirty work,1,0
🚽👷🛠️,dirty work,1,1
👎💰,dirty money,1,0
🤑💸🦹,dirty money,1,1
😈💵💵🚫👉👮,dirty money,1,1
🦠🤐🤑💸🦠,dirty money,1,1
🤮💵,dirty money,1,0
💩💵💰,dirty money,1,0
😒💰,dirty money,1,1
🚓🛑💵💵💵,dirty money,1,1
👎🧥,dirty overall,1,1
🤢🤮😒,dirty overall,1,2
😵‍💫😖👉🛁,dirty overall,1,1
🧼👕,dirty overall,1,1
🤮👗👚,dirty overall,1,0
💩👘,dirty overall,1,0
🧍‍♂️🤢,dirty overall,1,0
💩👖,dirty overall,1,0
👎🥊,dirty fighter,1,0
🤬:pouting_face:,dirty fighter,1,1
❌⚖️💪👨‍🦲💢,dirty fighter,1,1
🤬🤼‍♂️,dirty fighter,1,0
🤮🥋,dirty fighter,1,0
💩👊🥊,dirty fighter,1,0
😑😒🥊,dirty fighter,1,1
👿👊🥊🤼,dirty fighter,1,1
🖥️,common procedure,1,4
😬📋1️⃣2️⃣3️⃣,common procedure,1,1
👥🔃,common procedure,1,0
▶️🪜,common procedure,1,1
🤲✍️,common procedure,1,1
🪛🔧🤝,common procedure,1,1
👥💉🩺🩹🩸🧑‍⚕️👥,common procedure,1,1
🔄🧑‍⚕️💉,common procedure,1,1
🧐🧠,common knowledge,1,1
🧠🤔😒,common knowledge,1,1
👥📚,common knowledge,1,0
▶️🧠,common knowledge,1,0
🤲🧠,common knowledge,1,0
🥸👫🤲,common knowledge,1,1
👥📚📖👥,common knowledge,1,1
🧠🧠🌎,common knowledge,1,0
🏞️,common land,1,4
🌆🏙️🌉🏝️,common land,1,2
👥⛰️,common land,1,0
▶️🧱,common land,1,1
🤲🌆,common land,1,0
🤝🏝️,common land,1,0
👥🏝️🙌👥,common land,1,0
🌎🇦🇽🇮🇴🇻🇬🇧🇶🇧🇶🇰🇾,common land,1,2
🤬,common nuisance,1,4
😒😒,common nuisance,1,3
👥😩,common nuisance,1,0
🤒🤕,common nuisance,1,2
🤲🙅‍♂️,common nuisance,1,0
😒💢🙍‍♂️,common nuisance,1,2
👥🪰🪳🕷️👥,common nuisance,1,1
😝😝🔄,common nuisance,1,1
⛵👨🏻⚓,common sailor,1,1
🚢⚓👬,common sailor,1,1
👥👱‍♂️⛵,common sailor,1,0
▶️⛵,common sailor,1,1
🤲⛵👨,common sailor,1,0
🚤👦,common sailor,1,1
👨‍✈️⚓,common sailor,1,1
🧑‍✈️🚤,common sailor,1,1
🪰,common housefly,1,4
🪰😐,common housefly,1,0
👥🪰,common housefly,1,0
🏘️🏘️🏘️🪰🪰🪰🪰🪰,common housefly,1,3
🤲🪰,common housefly,1,0
🪰,common housefly,1,4
👥👥🪰,common housefly,1,0
🏠🪰,common housefly,1,0
👨🏻,common man,1,4
🧍🧍🤷,common man,1,1
👥🧍‍♂️,common man,1,1
▶️👦👦👦,common man,1,1
🤲👨,common man,1,0
👨,common man,1,4
👨👨👨👨,common man,1,3
👨🧑‍🦱👨‍🦱,common man,1,2
👩‍💼🗣️💼,common parlance,1,1
🗣️✅🆗,common parlance,1,1
👥🗣️,common parlance,1,0
▶️🗣️,common parlance,1,1
🤲🤝,common parlance,1,1
👏👦🧑‍🦱,common parlance,1,1
🗣️↔️🗣️,common parlance,1,1
📓📔💬💭,common parlance,1,1
👜,common brand,1,4
👓👝👗👔©️,common brand,1,0
👥💁🏻‍♀️👜,common brand,1,1
▶️🛒👛,common brand,1,1
🤲📱,common brand,1,1
↘️↙️,common brand,1,1
👥🧳👛💼🎒👜👥,common brand,1,1
🛍️🛍️🔄,common brand,1,1
🤘,heavy metal,1,4
🏋️⚙️,heavy metal,1,0
⚖️🔗,heavy metal,1,1
🏋🏻🛠️⚓🔗🔩⚔️,heavy metal,1,0
⚒️⛓️,heavy metal,1,2
😓🪨,heavy metal,1,1
⚖️⚙️,heavy metal,1,1
📦📦📦📦📦📦📦📦📦✖️💯,heavy load,1,3
🏋️🎒,heavy load,1,0
🏋️‍♂️📦,heavy load,1,0
🏋🏻🚜🧳,heavy load,1,0
💥🏋️,heavy load,1,1
😓📦,heavy load,1,1
💪👛,heavy load,1,1
🌫️🌁✖️💯,heavy fog,1,1
🌫️🌫️,heavy fog,1,3
🏋️‍♂️🌫️,heavy fog,1,0
🌫️😶‍🌫️,heavy fog,1,1
🌫️🤨,heavy fog,1,1
😓😶‍🌫️,heavy fog,1,1
🌫️💨,heavy fog,1,1
🍔🌭🌮😊,ample food,1,1
👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧🍽️💯,ample food,1,1
🍙🍚🍘🍜,ample food,1,2
🥖🥞🥫🍛🍲,ample food,1,2
👌🏻🍽️🍎,ample food,1,1
🍏🍎🍐🍊🥔🍠🥐🥯🍞🫓🍑🥥🥝,ample food,1,2
🍔🌭🌮🌯🥪🍕,ample food,1,2
👐😋,ample food,1,1
😊📈,ample supply,1,1
👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧📈,ample supply,1,1
📉📋✅,ample supply,1,1
🍽️✅,ample supply,1,1
👌🏻🔒,ample supply,1,1
🍏🍌🥐🌮🥪🥨🧀🥚🥞🥬🌶️🍢🧋🌰🍪🎂🥂🍨,ample supply,1,2
🙆🏻‍♀️📦,ample supply,1,0
👐📈,ample supply,1,1
😊,ample waistline,1,4
🤰📈,ample waistline,1,1
📏👖,ample waistline,1,1
🍴🍴🍝🎅,ample waistline,1,1
🤌🏻👗,ample waistline,1,1
💸🏦💵🪙💰💹🏧💲💳🤑,ample waistline,1,1
🙆🏻‍♀️🩳,ample waistline,1,0
👐🤰,ample waistline,1,1
🤯🤩,remarkable sight,1,0
🤩🤯🎆,remarkable sight,1,1
😲💯🥰👀,remarkable sight,1,0
🏞️👀✅,remarkable sight,1,0
🤩🏞️,remarkable sight,1,0
👀🎑,remarkable sight,1,0
🤩,remarkable sight,1,4
👀🖼️,remarkable sight,1,0
😑🥱,dull mood,1,2
😕😑😶,dull mood,1,2
😑🥱,dull mood,1,2
🥱😒,dull mood,1,2
🥱😒,dull mood,1,2
👎😤,dull mood,1,0
😔😪,dull mood,1,2
😓,dull mood,1,4
😑🥱⚽,dull play,1,0
😑:pinata:🧸,dull play,1,0
🥱🎭,dull play,1,0
🥱🎭,dull play,1,0
😒⚽,dull play,1,0
👎🏀,dull play,1,0
😪🎮,dull play,1,0
🎭😕,dull play,1,0
😑🥱🌫️,dull sky,1,0
🌥️🌧️🪟,dull sky,1,1
🌫️,dull sky,1,4
🌑🌃,dull sky,1,1
😒🌫️,dull sky,1,0
▪️⛈️,dull sky,1,1
🌩️🌫️,dull sky,1,1
🌫️,dull sky,1,4
🌫️🥈,dull silver,1,0
🌫️🍴🥄,dull silver,1,0
💍❌🌟,dull silver,1,0
🌑🥈,dull silver,1,0
🥈⚙️🌑,dull silver,1,0
▪️💍,dull silver,1,0
🥈😔,dull silver,1,1
🌫️🪙,dull silver,1,0
😑🥱📆,dull day,1,0
🌥️🏙️,dull day,1,1
😑📅,dull day,1,0
🌑🌚,dull day,1,1
🌫️🌥️,dull day,1,1
👎🕦,dull day,1,1
😥😟,dull day,1,2
🌫️,dull day,1,4
🌫️🌟,dull glow,1,0
🌫️💡,dull glow,1,0
💡❌🌟,dull glow,1,0
🌑🌟,dull glow,1,0
💡🕶️😒,dull glow,1,1
👎🌟,dull glow,1,0
❌💡🕯️,dull glow,1,0
🌫️⭐,dull glow,1,0
😊🛏️,cozy nook,1,1
😌☺️☀️🌄,cozy nook,1,1
🛋️🥰,cozy nook,1,1
🥰🛋️,cozy nook,1,1
🛋️☕😌,cozy nook,1,1
😄,cozy nook,1,4
🍁🍂🔥,cozy nook,1,1
😴🛋️,cozy nook,1,1
😊🏠,cozy room,1,0
😌🏠🏡🪟,cozy room,1,0
🛏️🥰,cozy room,1,1
🥰🚪,cozy room,1,1
🛋️☕🖥️,cozy room,1,1
😄🛌,cozy room,1,1
🛏️🛋️:zzz:🕯️,cozy room,1,1
😴🛋️,cozy room,1,1
↘️🏔️,low hill,1,0
👇⛰️,low hill,1,0
⬇️🏔️🏔️,low hill,1,0
↘️🏔️,low hill,1,0
🏔️⬇️,low hill,1,0
🏔️,low hill,1,4
⬇️🏔️,low hill,1,0
🔻🗻,low hill,1,0
↘️☀️,low sun,1,0
👇🌞,low sun,1,0
🌅🌅🌅,low sun,1,3
↘️☀️🌞🌥️🔅,low sun,1,1
⬇️🔅,low sun,1,0
💧🧊❄️,low sun,1,1
📉☀️,low sun,1,0
🔻☀️,low sun,1,0
↘️📉,low supply,1,1
📉📦,low supply,1,0
🙅‍♀️🙅‍♀️🙅‍♀️,low supply,1,3
↘️👎🙁😦,low supply,1,1
⬇️📉,low supply,1,1
😱🛍️🛒,low supply,1,1
⬇️0️⃣,low supply,1,1
🔻📦,low supply,1,0
↘️☁️,low cloud,1,0
👇☁️,low cloud,1,0
☁️🌁,low cloud,1,1
↘️🌫️,low cloud,1,0
⬇️☁️,low cloud,1,0
☁️🌥️,low cloud,1,1
❌☁️,low cloud,1,0
🔻☁️,low cloud,1,0
↘️🏠,low ceiling,1,0
👇🏠,low ceiling,1,0
📉📉,low ceiling,1,3
↘️🏘️,low ceiling,1,0
⬇️🔝,low ceiling,1,0
🏦,low ceiling,1,4
🏠💥,low ceiling,1,0
🔻🏢,low ceiling,1,0
↘️🙇‍♀️,low bow,1,0
🎀👇,low bow,1,1
🙇‍♀️🙇🙇‍♂️,low bow,1,2
↘️🙇🙇‍♀️🙇‍♂️,low bow,1,0
⬇️🙇‍♂️,low bow,1,0
🙇‍♀️,low bow,1,4
🙇‍♀️🙇‍♂️,low bow,1,2
🔻🙇🏻‍♀️,low bow,1,0
↘️🏞️,low reservoir,1,0
🏞️⬇️,low reservoir,1,0
💦🚫🚫,low reservoir,1,1
↘️🗻,low reservoir,1,0
⬇️🚣‍♀️🌊,low reservoir,1,0
🏞️🐊,low reservoir,1,1
🌛↘️,low reservoir,1,1
🔻🏞️,low reservoir,1,0
↘️🏷️,low price,1,0
📉💰💰,low price,1,0
🤑🤑🤑🧧,low price,1,1
↘️💲💸,low price,1,0
⬇️🏷️💲,low price,1,0
💲🤑🤑,low price,1,1
⬇️💲,low price,1,0
🔻🏷️,low price,1,0
↘️🛋️,low furniture,1,0
🔻🪑🛋️,low furniture,1,0
🪑🪑⬇️,low furniture,1,0
↘️💺🛏️,low furniture,1,0
⬇️🪑,low furniture,1,0
🛋️,low furniture,1,4
❌🛏️,low furniture,1,0
🔻🛋️,low furniture,1,0
😷🤒🤕,critical illness,1,2
☠️🤧,critical illness,1,0
🤕🧑‍⚕️💊😷🦠🪦,critical illness,1,1
🤮👨‍⚕️,critical illness,1,1
🤒🚨,critical illness,1,0
🤒‼️,critical illness,1,0
🤢🤢,critical illness,1,3
🤮🤒🌡️🌡️,critical illness,1,1
⚖️⚠️⚠️,critical mass,1,0
❗⚖️🐘,critical mass,1,0
⚖️👩‍⚖️👨‍⚖️,critical mass,1,1
‼️⚖️,critical mass,1,0
🚨🏋️‍♀️,critical mass,1,1
🤏⚛️❗,critical mass,1,0
💹💹,critical mass,1,3
⚖️❗❗❗,critical mass,1,0
🗝️📈,critical stage,1,0
✔️👍❌☠️,critical stage,1,1
🏥,critical stage,1,4
‼️👣,critical stage,1,1
🚨🤞,critical stage,1,1
📈❗,critical stage,1,0
😰😰,critical stage,1,3
📈📉❗❗,critical stage,1,0
🌡️⚠️,critical temperature,1,0
❗🌡️,critical temperature,1,0
🤒🏥,critical temperature,1,1
♨️🤕,critical temperature,1,1
🚨🌡️,critical temperature,1,0
🌡️❗,critical temperature,1,0
🌡️😯,critical temperature,1,1
❗❗🌡️🌡️🌡️,critical temperature,1,0
❌❓⚠️⚠️,critical shortage,1,1
❌🍞☠️,critical shortage,1,0
❌🍱❌🍼,critical shortage,1,1
‼️🦐🦑🍞🥝,critical shortage,1,1
🚨📉,critical shortage,1,0
❗🥑🍎🧀🍚❗😥,critical shortage,1,1
🤏🍞,critical shortage,1,1
⌛❌🧺,critical shortage,1,1
🗝️⚠️⚠️,critical element,1,1
🔥💧❄️⚡🐉,critical element,1,1
❗🚶,critical element,1,0
‼️⛑️,critical element,1,0
🚨🚨,critical element,1,3
⚛️🧫‼️,critical element,1,0
🉐🆘,critical element,1,2
👩‍🔬❗,critical element,1,1
🍲🍲👍,thick soup,1,1
🍲🍲🍲,thick soup,1,3
🥫🍦,thick soup,1,1
💦🥣,thick soup,1,1
🙌🍲,thick soup,1,1
🫕🫕🫕,thick soup,1,3
📏🥣,thick soup,1,1
🥣,thick soup,1,4
🌋💨,thick smoke,1,1
💨💨💨😤🌋🚬😤,thick smoke,1,1
💨👁️❌,thick smoke,1,1
💨🚬,thick smoke,1,1
🌋🌋🌋😷,thick smoke,1,1
💨💨🌫️🌫️,thick smoke,1,2
🔥💨💨💨💨,thick smoke,1,1
💨,thick smoke,1,4
🍦🍦🍦,thick cream,1,3
🍨🍦,thick cream,1,2
🍦🥫🍦🍦🍦🍦,thick cream,1,2
🧁,thick cream,1,4
🧴💪,thick cream,1,1
🍶🍶,thick cream,1,3
📏🍦🍦,thick cream,1,1
🍦,thick cream,1,4
🌫️🌫️🌫️,thick fog,1,3
✈️🙈,thick fog,1,1
💨👁️🌫️,thick fog,1,1
🌫️🌫️🌁,thick fog,1,2
🌫️🌫️🌫️,thick fog,1,3
🌫️🌫️,thick fog,1,3
📏🌫️🌫️🌫️🌁🌁,thick fog,1,2
🌫️😶‍🌫️,thick fog,1,2
❌📄,wrong paper,1,0
❌📜,wrong paper,1,0
🙅‍♀️📃,wrong paper,1,0
❌📄,wrong paper,1,0
🙅‍♂️📄,wrong paper,1,0
❌📃,wrong paper,1,0
❌📜,wrong paper,1,0
❌📃,wrong paper,1,0
❌🛣️,wrong road,1,0
❌🛣️,wrong road,1,0
🙅‍♀️🛣️,wrong road,1,0
❌🛣️,wrong road,1,0
🙅‍♂️🛣️,wrong road,1,0
❌🛣️,wrong road,1,0
❌🛣️,wrong road,1,0
🙅🛣️,wrong road,1,0
❌👩‍💻,wrong cheating,1,0
❌📑,wrong cheating,1,0
🙅‍♀️💔,wrong cheating,1,1
🙅👩‍❤️‍💋‍👨💔,wrong cheating,1,1
🙅‍♂️😈🤫✍️📄📚💯,wrong cheating,1,1
👎📝,wrong cheating,1,0
❌📝📋,wrong cheating,1,0
😏👎,wrong cheating,1,1
❌↗️↖️❎,wrong way,1,1
❌↩️,wrong way,1,0
🙅‍♀️🚸,wrong way,1,0
❌↗️🗺️,wrong way,1,1
🙅‍♂️🗺️🧭,wrong way,1,1
❌🧭,wrong way,1,1
❌🗺️🙅‍♀️,wrong way,1,0
🤦🧭,wrong way,1,0
❌💊,wrong medicine,1,0
❌💊,wrong medicine,1,0
🙅‍♀️💊,wrong medicine,1,0
❌💊🤒,wrong medicine,1,0
🙅‍♂️💊,wrong medicine,1,0
❌💊,wrong medicine,1,0
❌💊,wrong medicine,1,0
❌💊,wrong medicine,1,0
❌ℹ️,wrong information,1,0
❌ℹ️,wrong information,1,0
🙅‍♀️ℹ️,wrong information,1,0
❌💭❓,wrong information,1,1
🙅‍♂️📑🗂️,wrong information,1,0
❌🧠,wrong information,1,1
❌📰,wrong information,1,0
❌ℹ️,wrong information,1,0
❌🤔,wrong assumption,1,0
❌💭,wrong assumption,1,0
🙅‍♀️🤔,wrong assumption,1,0
👄❌👄💬,wrong assumption,1,0
🙅‍♂️🤔,wrong assumption,1,0
❌👀🧠,wrong assumption,1,0
❌🤔,wrong assumption,1,0
🤔🤦,wrong assumption,1,1
❌⏰,wrong time,1,0
❌🕡,wrong time,1,0
🙅‍♀️🕰️,wrong time,1,0
❌⏱️⏰,wrong time,1,0
🙅‍♂️⏱️,wrong time,1,0
❌⏰,wrong time,1,0
❌⏱️,wrong time,1,0
🤦⌚,wrong time,1,1
♨️🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,warm support,1,1
🌡️🫂,warm support,1,0
🤝🥵,warm support,1,0
👪🥰,warm support,1,1
🫂🤗,warm support,1,0
🥰,warm support,1,4
🔥💪🏻,warm support,1,0
🌡️💪,warm support,1,0
♨️🤗🤝,warm greeting,1,0
♨️👋,warm greeting,1,0
🥵👋,warm greeting,1,0
👋🥰,warm greeting,1,1
😊👋,warm greeting,1,1
👋👋👋,warm greeting,1,3
❤️👋,warm greeting,1,1
🌡️🤝,warm greeting,1,0
♨️⚖️,warm debate,1,0
🔥🗣️,warm debate,1,0
🕵️‍♂️🕵️‍♀️,warm debate,1,3
🧠🗣️💥,warm debate,1,0
🗣️🔥🗣️,warm debate,1,0
👄🤯,warm debate,1,1
💥🧠,warm debate,1,1
🌡️🗣️🗣️,warm debate,1,0
♨️😮‍💨,warm room,1,1
🌡️🚺🚹,warm room,1,0
🥵🏡,warm room,1,0
🥵🏫,warm room,1,0
🥵🌡️🏚️,warm room,1,0
🥵,warm room,1,4
🔥🏠,warm room,1,0
🌡️🏠,warm room,1,0
♨️🦶🦵👃👂🖐️,warm body,1,2
🌡️🧍‍♂️,warm body,1,0
🎥💁‍♀️❤️🧟‍♂️,warm body,1,1
🤒,warm body,1,4
🤒,warm body,1,4
🥵,warm body,1,4
🔥🧖‍♂️,warm body,1,0
🌡️🧍,warm body,1,0
♨️⛅,warm climate,1,0
🌡️🏜️,warm climate,1,1
🥵🏝️,warm climate,1,1
🤒🥵🔥☀️,warm climate,1,1
☀️🌡️📈,warm climate,1,1
🌤️,warm climate,1,4
🌤️,warm climate,1,4
🌡️🌏,warm climate,1,1
♨️🧥,warm coat,1,0
🌡️🧥,warm coat,1,0
🥵🥼,warm coat,1,0
🧥🥵,warm coat,1,0
👍🧥❌🥶,warm coat,1,0
🧥,warm coat,1,4
🧥,warm coat,1,4
🌡️🥼,warm coat,1,0
♨️🙂👤,warm personality,1,0
🔥😝,warm personality,1,0
🥵🤝👋,warm personality,1,0
🥰👭,warm personality,1,1
👊🧑‍🤝‍🧑,warm personality,1,1
🥰,warm personality,1,4
😁🥳,warm personality,1,2
🌡️💁‍♀️,warm personality,1,0
🔎👩🏻,clear complexion,1,0
👩✨,clear complexion,1,1
😌✨✨,clear complexion,1,1
💁‍♀️,clear complexion,1,4
💆‍♀️👌,clear complexion,1,0
👨🚰🥗🪞✨,clear complexion,1,1
😍🧴,clear complexion,1,1
🔎👉,clear indication,1,0
✔️✔️,clear indication,1,3
😲😲🆗,clear indication,1,1
🔮👓,clear indication,1,0
✔️✍️,clear indication,1,0
💬✔️❌❓,clear indication,1,0
🗣️👍🏻,clear indication,1,0
🌬️,clear air,1,4
⛰️🌬️,clear air,1,1
💨💨✨,clear air,1,1
🍃❌🚬🧹,clear air,1,1
🌬️🍃👍,clear air,1,0
💨✨❌🦠,clear air,1,1
👍🏻🌬️,clear air,1,0
🔎💼,clear case,1,0
✔️💼,clear case,1,0
👀🗣️,clear case,1,1
🪟💼,clear case,1,0
✔️💼,clear case,1,0
🕵️🔬🔪🩸💡,clear case,1,1
