sent1,sent2,unicode,label,strategy,attribute,filename,emoji,separate_filenames
This is bright_button [EM] dress.,This is bright dress.,U+1F506 U+1F457,1,0,COLOR,145.png,🔆👗,"['noto-emoji/png/512/emoji_u1f506.png', 'noto-emoji/png/512/emoji_u1f457.png']"
This is sparkles [EM] dress.,This is bright dress.,U+2728 U+1F457,1,0,COLOR,146.png,✨👗,"['noto-emoji/png/512/emoji_u2728.png', 'noto-emoji/png/512/emoji_u1f457.png']"
This is bright_button [EM] dress [EM] woman_dancing.,This is bright dress.,U+1F506 U+1F457 U+1F483,1,0,COLOR,147.png,🔆👗💃,"['noto-emoji/png/512/emoji_u1f506.png', 'noto-emoji/png/512/emoji_u1f457.png', 'noto-emoji/png/512/emoji_u1f483.png']"
This is sun [EM] artist_palette [EM] dress.,This is bright dress.,U+2600 U+FE0F U+1F3A8 U+1F457,1,0,COLOR,148.png,☀️🎨👗,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f3a8.png', 'noto-emoji/png/512/emoji_u1f457.png']"
This is dress [EM] sparkles.,This is bright dress.,U+1F457 U+2728,1,0,COLOR,149.png,👗✨,"['noto-emoji/png/512/emoji_u1f457.png', 'noto-emoji/png/512/emoji_u2728.png']"
This is sun [EM] dress.,This is bright dress.,U+2600 U+FE0F U+1F457,1,0,COLOR,150.png,☀️👗,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f457.png']"
This is dress [EM] sparkles.,This is bright dress.,U+1F457 U+2728,1,0,COLOR,151.png,👗✨,"['noto-emoji/png/512/emoji_u1f457.png', 'noto-emoji/png/512/emoji_u2728.png']"
This is sparkler [EM] school.,This is bright room.,U+1F387 U+1F3EB,1,0,LIGHT,152.png,🎇🏫,"['noto-emoji/png/512/emoji_u1f387.png', 'noto-emoji/png/512/emoji_u1f3eb.png']"
This is bright_button [EM] men’s_room [EM] women’s_room.,This is bright room.,U+1F506 U+1F6B9 U+1F6BA,1,0,LIGHT,153.png,🔆🚹🚺,"['noto-emoji/png/512/emoji_u1f506.png', 'noto-emoji/png/512/emoji_u1f6b9.png', 'noto-emoji/png/512/emoji_u1f6ba.png']"
This is sparkles [EM] house.,This is bright room.,U+2728 U+1F3E0,1,0,LIGHT,154.png,✨🏠,"['noto-emoji/png/512/emoji_u2728.png', 'noto-emoji/png/512/emoji_u1f3e0.png']"
This is light_bulb [EM] candle [EM] house.,This is bright room.,U+1F4A1 U+1F56F U+FE0F U+1F3E0,1,0,LIGHT,155.png,💡🕯️🏠,"['noto-emoji/png/512/emoji_u1f4a1.png', 'noto-emoji/png/512/emoji_u1f56f.png', 'noto-emoji/png/512/emoji_u1f3e0.png']"
This is sun [EM] school.,This is bright room.,U+2600 U+FE0F U+1F3EB,1,0,LIGHT,156.png,☀️🏫,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f3eb.png']"
This is light_bulb [EM] wedding.,This is bright room.,U+1F4A1 U+1F492,1,0,LIGHT,157.png,💡💒,"['noto-emoji/png/512/emoji_u1f4a1.png', 'noto-emoji/png/512/emoji_u1f492.png']"
This is sun.,This is bright room.,U+2600 U+FE0F,1,4,LIGHT,158.png,☀️,['noto-emoji/png/512/emoji_u2600.png']
This is sun [EM] school.,This is bright room.,U+2600 U+FE0F U+1F3EB,1,0,LIGHT,159.png,☀️🏫,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f3eb.png']"
This is sunglasses [EM] person_in_suit_levitating.,This is dark shadow.,U+1F576 U+FE0F U+1F574 U+FE0F,1,1,LIGHT,160.png,🕶️🕴️,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f574.png']"
This is black_circle [EM] busts_in_silhouette.,This is dark shadow.,U+26AB U+1F465,1,1,LIGHT,161.png,⚫👥,"['noto-emoji/png/512/emoji_u26ab.png', 'noto-emoji/png/512/emoji_u1f465.png']"
This is sunglasses [EM] sunglasses [EM] bust_in_silhouette.,This is dark shadow.,U+1F576 U+1F576 U+1F464,1,1,LIGHT,162.png,🕶🕶👤,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f464.png']"
This is cross_mark [EM] light_bulb [EM] person_standing.,This is dark shadow.,U+274C U+1F4A1 U+1F9CD,1,1,LIGHT,163.png,❌💡🧍,"['noto-emoji/png/512/emoji_u274c.png', 'noto-emoji/png/512/emoji_u1f4a1.png', 'noto-emoji/png/512/emoji_u1f9cd.png']"
This is new_moon [EM] bust_in_silhouette.,This is dark shadow.,U+1F311 U+1F464,1,1,LIGHT,164.png,🌑👤,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f464.png']"
This is new_moon.,This is dark shadow.,U+1F311,1,6,LIGHT,165.png,🌑,['noto-emoji/png/512/emoji_u1f311.png']
This is new_moon_face.,This is dark shadow.,U+1F31A,1,4,LIGHT,166.png,🌚,['noto-emoji/png/512/emoji_u1f31a.png']
This is new_moon [EM] men’s_room.,This is dark shadow.,U+1F311 U+1F6B9,1,1,LIGHT,167.png,🌑🚹,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f6b9.png']"
This is sunglasses [EM] sunrise.,This is dark day.,U+1F576 U+FE0F U+1F305,1,0,LIGHT,168.png,🕶️🌅,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f305.png']"
This is black_circle [EM] tear-off_calendar.,This is dark day.,U+26AB U+1F4C6,1,0,LIGHT,169.png,⚫📆,"['noto-emoji/png/512/emoji_u26ab.png', 'noto-emoji/png/512/emoji_u1f4c6.png']"
This is tornado [EM] fog [EM] fog.,This is dark day.,U+1F32A U+1F32B U+1F32B,1,1,LIGHT,170.png,🌪🌫🌫,"['noto-emoji/png/512/emoji_u1f32a.png', 'noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f32b.png']"
This is cloud_with_lightning_and_rain [EM] fog [EM] new_moon.,This is dark day.,U+26C8 U+FE0F U+1F32B U+FE0F U+1F311,1,1,LIGHT,171.png,⛈️🌫️🌑,"['noto-emoji/png/512/emoji_u26c8.png', 'noto-emoji/png/512/emoji_u1f32b.png', 'noto-emoji/png/512/emoji_u1f311.png']"
This is new_moon [EM] tear-off_calendar.,This is dark day.,U+1F311 U+1F4C6,1,0,LIGHT,172.png,🌑📆,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f4c6.png']"
This is smiling_face_with_horns [EM] footprints.,This is dark day.,U+1F608 U+1F463,1,1,LIGHT,173.png,😈👣,"['noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u1f463.png']"
This is new_moon.,This is dark day.,U+1F311,1,6,LIGHT,174.png,🌑,['noto-emoji/png/512/emoji_u1f311.png']
This is new_moon [EM] night_with_stars.,This is dark day.,U+1F311 U+1F303,1,0,LIGHT,175.png,🌑🌃,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f303.png']"
This is sunglasses [EM] glass_of_milk.,This is dark glass.,U+1F576 U+FE0F U+1F95B,1,0,COLOR,176.png,🕶️🥛,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f95b.png']"
This is black_circle [EM] glass_of_milk.,This is dark glass.,U+26AB U+1F95B,1,0,COLOR,177.png,⚫🥛,"['noto-emoji/png/512/emoji_u26ab.png', 'noto-emoji/png/512/emoji_u1f95b.png']"
This is sunglasses [EM] sunglasses.,This is dark glass.,U+1F576 U+1F576,1,3,COLOR,178.png,🕶🕶,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f576.png']"
This is sunglasses.,This is dark glass.,U+1F576 U+FE0F,1,4,COLOR,179.png,🕶️,['noto-emoji/png/512/emoji_u1f576.png']
This is new_moon [EM] wine_glass.,This is dark glass.,U+1F311 U+1F377,1,0,COLOR,180.png,🌑🍷,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f377.png']"
This is angry_face_with_horns.,This is dark glass.,U+1F47F,1,4,COLOR,181.png,👿,['noto-emoji/png/512/emoji_u1f47f.png']
This is night_with_stars.,This is dark glass.,U+1F303,1,4,COLOR,182.png,🌃,['noto-emoji/png/512/emoji_u1f303.png']
This is sunglasses.,This is dark glass.,U+1F576 U+FE0F,1,4,COLOR,183.png,🕶️,['noto-emoji/png/512/emoji_u1f576.png']
This is sunglasses [EM] water_wave.,This is dark undercurrent.,U+1F576 U+FE0F U+1F30A,1,0,EVIL,184.png,🕶️🌊,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f30a.png']"
This is black_circle [EM] water_wave.,This is dark undercurrent.,U+26AB U+1F30A,1,0,EVIL,185.png,⚫🌊,"['noto-emoji/png/512/emoji_u26ab.png', 'noto-emoji/png/512/emoji_u1f30a.png']"
This is new_moon [EM] water_wave [EM] sweat_droplets.,This is dark undercurrent.,U+1F311 U+1F30A U+1F4A6,1,0,EVIL,187.png,🌑🌊💦,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f30a.png', 'noto-emoji/png/512/emoji_u1f4a6.png']"
This is new_moon [EM] no_one_under_eighteen [EM] water_wave.,This is dark undercurrent.,U+1F311 U+1F51E U+1F30A,1,0,EVIL,188.png,🌑🔞🌊,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f51e.png', 'noto-emoji/png/512/emoji_u1f30a.png']"
This is angry_face_with_horns [EM] face_screaming_in_fear [EM] fearful_face.,This is dark undercurrent.,U+1F47F U+1F631 U+1F628,1,2,EVIL,189.png,👿😱😨,"['noto-emoji/png/512/emoji_u1f47f.png', 'noto-emoji/png/512/emoji_u1f631.png', 'noto-emoji/png/512/emoji_u1f628.png']"
This is spade_suit [EM] angry_face_with_horns.,This is dark undercurrent.,U+2660 U+FE0F U+1F47F,1,1,EVIL,190.png,♠️👿,"['noto-emoji/png/512/emoji_u2660.png', 'noto-emoji/png/512/emoji_u1f47f.png']"
This is smiling_face_with_horns [EM] chart_increasing.,This is dark undercurrent.,U+1F608 U+1F4C8,1,1,EVIL,191.png,😈📈,"['noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u1f4c8.png']"
This is sunglasses [EM] ballot_box_with_ballot.,This is dark corner.,U+1F576 U+FE0F U+1F5F3 U+FE0F,1,0,LIGHT,192.png,🕶️🗳️,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f5f3.png']"
This is black_circle [EM] brick.,This is dark corner.,U+26AB U+1F9F1,1,0,LIGHT,193.png,⚫🧱,"['noto-emoji/png/512/emoji_u26ab.png', 'noto-emoji/png/512/emoji_u1f9f1.png']"
This is flashlight [EM] prohibited [EM] prohibited.,This is dark corner.,U+1F526 U+1F6AB U+1F6AB,1,1,LIGHT,194.png,🔦🚫🚫,"['noto-emoji/png/512/emoji_u1f526.png', 'noto-emoji/png/512/emoji_u1f6ab.png', 'noto-emoji/png/512/emoji_u1f6ab.png']"
This is new_moon [EM] cross_mark [EM] light_bulb.,This is dark corner.,U+1F311 U+274C U+1F4A1,1,1,LIGHT,195.png,🌑❌💡,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u274c.png', 'noto-emoji/png/512/emoji_u1f4a1.png']"
This is new_moon [EM] school [EM] shushing_face [EM] Japanese_secret_button.,This is dark corner.,U+1F311 U+1F3EB U+1F92B U+3299 U+FE0F,1,1,LIGHT,196.png,🌑🏫🤫㊙️,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f3eb.png', 'noto-emoji/png/512/emoji_u1f92b.png', 'noto-emoji/png/512/emoji_u3299.png']"
This is fearful_face [EM] ogre.,This is dark corner.,U+1F628 U+1F479,1,1,LIGHT,197.png,😨👹,"['noto-emoji/png/512/emoji_u1f628.png', 'noto-emoji/png/512/emoji_u1f479.png']"
This is new_moon [EM] boomerang.,This is dark corner.,U+1F311 U+1FA83,1,0,LIGHT,198.png,🌑🪃,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1fa83.png']"
This is sunglasses [EM] house.,This is dark corner.,U+1F576 U+FE0F U+1F3E0,1,0,LIGHT,199.png,🕶️🏠,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f3e0.png']"
This is sunglasses [EM] angry_face_with_horns.,This is dark purpose.,U+1F576 U+FE0F U+1F47F,1,1,EVIL,200.png,🕶️👿,"['noto-emoji/png/512/emoji_u1f576.png', 'noto-emoji/png/512/emoji_u1f47f.png']"
This is black_circle [EM] smiling_face_with_horns.,This is dark purpose.,U+26AB U+1F608,1,1,EVIL,201.png,⚫😈,"['noto-emoji/png/512/emoji_u26ab.png', 'noto-emoji/png/512/emoji_u1f608.png']"
This is smiling_face_with_horns [EM] smiling_face_with_horns [EM] smiling_face_with_horns [EM] smiling_face_with_horns.,This is dark purpose.,U+1F608 U+1F608 U+1F608 U+1F608,1,3,EVIL,202.png,😈😈😈😈,"['noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u1f608.png']"
This is new_moon [EM] face_with_crossed-out_eyes [EM] skull.,This is dark purpose.,U+1F311 U+1F635 U+1F480,1,1,EVIL,203.png,🌑😵💀,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f635.png', 'noto-emoji/png/512/emoji_u1f480.png']"
This is smiling_face_with_horns [EM] red_question_mark [EM] woman_shrugging.,This is dark purpose.,U+1F608 U+2753 U+1F937 U+200D U+2640 U+FE0F,1,1,EVIL,204.png,😈❓🤷‍♀️,"['noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u2753.png', 'noto-emoji/png/512/emoji_u1f937.png', 'noto-emoji/png/512/emoji_u2640.png']"
This is angry_face_with_horns [EM] ogre [EM] goblin [EM] smirking_face.,This is dark purpose.,U+1F47F U+1F479 U+1F47A U+1F60F,1,2,EVIL,205.png,👿👹👺😏,"['noto-emoji/png/512/emoji_u1f47f.png', 'noto-emoji/png/512/emoji_u1f479.png', 'noto-emoji/png/512/emoji_u1f47a.png', 'noto-emoji/png/512/emoji_u1f60f.png']"
This is angry_face_with_horns [EM] smiling_face_with_horns.,This is dark purpose.,U+1F47F U+1F608,1,3,EVIL,206.png,👿😈,"['noto-emoji/png/512/emoji_u1f47f.png', 'noto-emoji/png/512/emoji_u1f608.png']"
This is new_moon [EM] smiling_face_with_horns [EM] ogre.,This is dark purpose.,U+1F311 U+1F608 U+1F479,1,1,EVIL,207.png,🌑😈👹,"['noto-emoji/png/512/emoji_u1f311.png', 'noto-emoji/png/512/emoji_u1f608.png', 'noto-emoji/png/512/emoji_u1f479.png']"
This is backhand_index_pointing_right [EM] national_park.,This is right bank.,U+1F449 U+1F3DE U+FE0F,1,0,POSITION,208.png,👉🏞️,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f3de.png']"
This is backhand_index_pointing_right [EM] bank.,This is right bank.,U+1F449 U+1F3E6,1,0,POSITION,209.png,👉🏦,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f3e6.png']"
This is right_arrow [EM] bank [EM] money_bag.,This is right bank.,U+27A1 U+FE0F U+1F3E6 U+1F4B0,1,0,POSITION,210.png,➡️🏦💰,"['noto-emoji/png/512/emoji_u27a1.png', 'noto-emoji/png/512/emoji_u1f3e6.png', 'noto-emoji/png/512/emoji_u1f4b0.png']"
This is check_mark_button [EM] bank.,This is right bank.,U+2705 U+1F3E6,1,0,POSITION,211.png,✅🏦,"['noto-emoji/png/512/emoji_u2705.png', 'noto-emoji/png/512/emoji_u1f3e6.png']"
This is check_mark [EM] bank.,This is right bank.,U+2714 U+FE0F U+1F3E6,1,0,POSITION,212.png,✔️🏦,"['noto-emoji/png/512/emoji_u2714.png', 'noto-emoji/png/512/emoji_u1f3e6.png']"
This is backhand_index_pointing_right [EM] bank.,This is right bank.,U+1F449 U+1F3E6,1,0,POSITION,213.png,👉🏦,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f3e6.png']"
This is thumbs_up [EM] bank [EM] money_bag [EM] money_bag [EM] money_bag.,This is right bank.,U+1F44D U+1F3E6 U+1F4B0 U+1F4B0 U+1F4B0,1,0,POSITION,214.png,👍🏦💰💰💰,"['noto-emoji/png/512/emoji_u1f44d.png', 'noto-emoji/png/512/emoji_u1f3e6.png', 'noto-emoji/png/512/emoji_u1f4b0.png', 'noto-emoji/png/512/emoji_u1f4b0.png', 'noto-emoji/png/512/emoji_u1f4b0.png']"
This is thumbs_up [EM] bank [EM] money_with_wings [EM] chart_increasing_with_yen.,This is right bank.,U+1F44D U+1F3E6 U+1F4B8 U+1F4B9,1,0,POSITION,215.png,👍🏦💸💹,"['noto-emoji/png/512/emoji_u1f44d.png', 'noto-emoji/png/512/emoji_u1f3e6.png', 'noto-emoji/png/512/emoji_u1f4b8.png', 'noto-emoji/png/512/emoji_u1f4b9.png']"
This is raised_hand [EM] backhand_index_pointing_right.,This is right hand.,U+270B U+1F449,1,0,POSITION,216.png,✋👉,"['noto-emoji/png/512/emoji_u270b.png', 'noto-emoji/png/512/emoji_u1f449.png']"
This is backhand_index_pointing_right [EM] hand_with_fingers_splayed.,This is right hand.,U+1F449 U+1F590,1,0,POSITION,217.png,👉🖐,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f590.png']"
This is right_arrow [EM] hand_with_fingers_splayed.,This is right hand.,U+27A1 U+FE0F U+1F590,1,0,POSITION,218.png,➡️🖐,"['noto-emoji/png/512/emoji_u27a1.png', 'noto-emoji/png/512/emoji_u1f590.png']"
This is backhand_index_pointing_right [EM] hand_with_fingers_splayed.,This is right hand.,U+1F449 U+1F590,1,0,POSITION,219.png,👉🖐,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f590.png']"
This is backhand_index_pointing_right [EM] raised_back_of_hand.,This is right hand.,U+1F449 U+1F91A,1,0,POSITION,220.png,👉🤚,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f91a.png']"
This is backhand_index_pointing_right [EM] waving_hand.,This is right hand.,U+1F449 U+1F44B,1,0,POSITION,221.png,👉👋,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f44b.png']"
This is backhand_index_pointing_right [EM] check_mark.,This is right hand.,U+1F449 U+2714 U+FE0F,1,1,POSITION,222.png,👉✔️,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u2714.png']"
This is palms_up_together [EM] raised_back_of_hand.,This is right hand.,U+1F932 U+1F91A,1,1,POSITION,223.png,🤲🤚,"['noto-emoji/png/512/emoji_u1f932.png', 'noto-emoji/png/512/emoji_u1f91a.png']"
This is backhand_index_pointing_right.,This is right side.,U+1F449,1,4,POSITION,224.png,👉,['noto-emoji/png/512/emoji_u1f449.png']
This is backhand_index_pointing_right [EM] backhand_index_pointing_right.,This is right side.,U+1F449 U+1F449,1,3,POSITION,225.png,👉👉,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f449.png']"
This is right_arrow [EM] woman_tipping_hand.,This is right side.,U+27A1 U+FE0F U+1F481 U+200D U+2640 U+FE0F,1,2,POSITION,226.png,➡️💁‍♀️,"['noto-emoji/png/512/emoji_u27a1.png', 'noto-emoji/png/512/emoji_u1f481.png', 'noto-emoji/png/512/emoji_u2640.png']"
This is backhand_index_pointing_right [EM] person_standing.,This is right side.,U+1F449 U+1F9CD,1,1,POSITION,227.png,👉🧍,"['noto-emoji/png/512/emoji_u1f449.png', 'noto-emoji/png/512/emoji_u1f9cd.png']"
This is backhand_index_pointing_right.,This is right side.,U+1F449,1,4,POSITION,228.png,👉,['noto-emoji/png/512/emoji_u1f449.png']
This is backhand_index_pointing_right.,This is right side.,U+1F449,1,4,POSITION,229.png,👉,['noto-emoji/png/512/emoji_u1f449.png']
This is bust_in_silhouette [EM] backhand_index_pointing_right.,This is right side.,U+1F464 U+1F449,1,1,POSITION,230.png,👤👉,"['noto-emoji/png/512/emoji_u1f464.png', 'noto-emoji/png/512/emoji_u1f449.png']"
This is right_arrow [EM] people_holding_hands [EM] backhand_index_pointing_left.,This is right side.,U+27A1 U+FE0F U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F448,1,1,POSITION,231.png,➡️🧑‍🤝‍🧑👈,"['noto-emoji/png/512/emoji_u27a1.png', 'noto-emoji/png/512/emoji_u1f9d1.png', 'noto-emoji/png/512/emoji_u1f91d.png', 'noto-emoji/png/512/emoji_u1f9d1.png', 'noto-emoji/png/512/emoji_u1f448.png']"
This is check_mark.,This is right decision.,U+2714 U+FE0F,1,6,CORRECTNESS,232.png,✔️,['noto-emoji/png/512/emoji_u2714.png']
This is check_mark [EM] light_bulb [EM] woman [EM] thumbs_up.,This is right decision.,U+2714 U+FE0F U+1F4A1 U+1F469 U+1F44D,1,0,CORRECTNESS,233.png,✔️💡👩👍,"['noto-emoji/png/512/emoji_u2714.png', 'noto-emoji/png/512/emoji_u1f4a1.png', 'noto-emoji/png/512/emoji_u1f469.png', 'noto-emoji/png/512/emoji_u1f44d.png']"
This is right_arrow [EM] handshake.,This is right decision.,U+27A1 U+FE0F U+1F91D,1,0,CORRECTNESS,234.png,➡️🤝,"['noto-emoji/png/512/emoji_u27a1.png', 'noto-emoji/png/512/emoji_u1f91d.png']"
This is check_mark_button [EM] brain.,This is right decision.,U+2705 U+1F9E0,1,0,CORRECTNESS,235.png,✅🧠,"['noto-emoji/png/512/emoji_u2705.png', 'noto-emoji/png/512/emoji_u1f9e0.png']"
This is thumbs_up.,This is right decision.,U+1F44D,1,4,CORRECTNESS,236.png,👍,['noto-emoji/png/512/emoji_u1f44d.png']
This is check_mark_button.,This is right decision.,U+2705,1,4,CORRECTNESS,237.png,✅,['noto-emoji/png/512/emoji_u2705.png']
