EN,EM,Description,Composition strategy,Attribute,positional sensitivity
big group,👬👬👬👬👬👬👬👬👬👬👬,"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE,1
big group,👥👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE,1
big group,👫👭👨‍👨‍👧‍👧👬👨‍👨‍👧,"[':woman_and_man_holding_hands:', ':women_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']",Semantic list,SIZE,1
big group,👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE,1
big group,👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦,"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']",Reduplication,SIZE,1
big group,🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Reduplication,SIZE,1
big man,🧔‍♂️😲⬆️,"[':man_beard:', ':astonished_face:', ':up_arrow:']",Metaphorical,CONSPICUOUSNESS,4
big man,🎅,[':Santa_Claus:'],Single,CONSPICUOUSNESS,1
big man,🧑‍🦱,[':person_curly_hair:'],Single,CONSPICUOUSNESS,1
big man,🧍‍♂️💪,"[':man_standing:', ':flexed_biceps:']",Metaphorical,CONSPICUOUSNESS,1
big man,💪🧔‍♂️,"[':flexed_biceps:', ':man_beard:']",Metaphorical,CONSPICUOUSNESS,3
big man,👱‍♂️↔️↕️,"[':man_blond_hair:', ':left-right_arrow:', ':up-down_arrow:']",Metaphorical,CONSPICUOUSNESS,3
big man,🦸🦸‍♂️,"[':superhero:', ':man_superhero:']",Metaphorical,CONSPICUOUSNESS,1
big man,💪🧍‍♂️,"[':flexed_biceps:', ':man_standing:']",Metaphorical,CONSPICUOUSNESS,1
big city,🌇❗,"[':sunset:', ':red_exclamation_mark:']",Metaphorical,SIZE,3
big city,🌇🌁🌆🏙🌃🗽,"[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']",Semantic list,SIZE,1
big city,🇷🇺,[':Russia:'],Single,SIZE,1
big city,🏙,[':cityscape:'],Single,SIZE,1
big city,🌆🤯,"[':cityscape_at_dusk:', ':exploding_head:']",Metaphorical,SIZE,3
big city,🏙↕️↔️,"[':cityscape:', ':up-down_arrow:', ':left-right_arrow:']",Metaphorical,SIZE,3
big city,🌃🌃🌃🌃🌃,"[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']",Reduplication,SIZE,1
big city,🌇🏙️,"[':sunset:', ':cityscape:']",Semantic list,SIZE,2
big tipper,🧔‍♂️💰,"[':man_beard:', ':money_bag:']",Metaphorical,GENEROSITY,3
big tipper,🥞💸,"[':pancakes:', ':money_with_wings:']",Metaphorical,GENEROSITY,4
big tipper,💴💴💆‍♂️💇‍♂️,"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']",Metaphorical,GENEROSITY,3
big tipper,🪙🪙,"[':coin:', ':coin:']",Reduplication,GENEROSITY,1
big tipper,🤑👨‍🦰💰,"[':money-mouth_face:', ':man_red_hair:', ':money_bag:']",Metaphorical,GENEROSITY,3
big tipper,💵💵,"[':dollar_banknote:', ':dollar_banknote:']",Reduplication,GENEROSITY,1
big tipper,💸💸💸,"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",Reduplication,GENEROSITY,1
big tipper,👍💸,"[':thumbs_up:', ':money_with_wings:']",Metaphorical,GENEROSITY,3
big day,❗📆,"[':red_exclamation_mark:', ':tear-off_calendar:']",Direct,IMPORTANCE,3
big day,👰💒🤵‍♂,"[':person_with_veil:', ':wedding:', ':man_in_tuxedo:']",Metaphorical,IMPORTANCE,5
big day,👩‍❤️‍👨👰,"[':couple_with_heart_woman_man:', ':person_with_veil:']",Metaphorical,IMPORTANCE,4
big day,😰☀️,"[':anxious_face_with_sweat:', ':sun:']",Metaphorical,IMPORTANCE,3
big day,👰‍♂️👰‍♀️🤵‍♂️🤵‍♀️,"[':man_with_veil:', ':woman_with_veil:', ':man_in_tuxedo:', ':woman_in_tuxedo:']",Metaphorical,IMPORTANCE,2
big day,🥇☀️,"[':1st_place_medal:', ':sun:']",Metaphorical,IMPORTANCE,3
big day,😵😵😵,"[':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:']",Metaphorical,IMPORTANCE,1
big day,🗓️,[':spiral_calendar:'],Single,IMPORTANCE,1
hot doll,🥵👧,"[':hot_face:', ':girl:']",Direct,POPULARITY,2
hot doll,🪆🔥🔥,"[':nesting_dolls:', ':fire:', ':fire:']",Direct,POPULARITY,2
hot doll,💅👱‍♀️,"[':nail_polish:', ':woman_blond_hair:']",Metaphorical,POPULARITY,3
hot doll,🔥🪆,"[':fire:', ':nesting_dolls:']",Direct,POPULARITY,2
hot doll,1️⃣🪆🎎,"[':keycap_1:', ':nesting_dolls:', ':Japanese_dolls:']",Metaphorical,POPULARITY,3
hot doll,🔥🧸,"[':fire:', ':teddy_bear:']",Direct,POPULARITY,2
hot doll,♨️🪆,"[':hot_springs:', ':nesting_dolls:']",Direct,POPULARITY,2
hot doll,🥵🧸,"[':hot_face:', ':teddy_bear:']",Direct,POPULARITY,2
hot water,♨️💦,"[':hot_springs:', ':sweat_droplets:']",Direct,TEMPERATURE,2
hot water,🥵🚰,"[':hot_face:', ':potable_water:']",Direct,TEMPERATURE,2
hot water,♨️💧,"[':hot_springs:', ':droplet:']",Direct,TEMPERATURE,2
hot water,🔥💦,"[':fire:', ':sweat_droplets:']",Direct,TEMPERATURE,2
hot water,♨️💧🚰,"[':hot_springs:', ':droplet:', ':potable_water:']",Direct,TEMPERATURE,2
hot water,♨️🚰,"[':hot_springs:', ':potable_water:']",Direct,TEMPERATURE,2
hot water,♨️💧,"[':hot_springs:', ':droplet:']",Direct,TEMPERATURE,2
hot water,📛💦,"[':name_badge:', ':sweat_droplets:']",Direct,TEMPERATURE,2
hot stove,🌡️♨️🍳,"[':thermometer:', ':hot_springs:', ':cooking:']",Direct,TEMPERATURE,3
hot stove,♨️🍳,"[':hot_springs:', ':cooking:']",Direct,TEMPERATURE,3
hot stove,♨️🎛🔥,"[':hot_springs:', ':control_knobs:', ':fire:']",Direct,TEMPERATURE,3
hot stove,🔥🍳,"[':fire:', ':cooking:']",Direct,TEMPERATURE,4
hot stove,🥵🍳🔥,"[':hot_face:', ':cooking:', ':fire:']",Direct,TEMPERATURE,3
hot stove,♨️🔥,"[':hot_springs:', ':fire:']",Direct,TEMPERATURE,2
hot stove,🔥♨️,"[':fire:', ':hot_springs:']",Direct,TEMPERATURE,2
hot stove,📛🌡️🫕,"[':name_badge:', ':thermometer:', ':fondue:']",Direct,TEMPERATURE,2
hot topic,🔥🔊🗣️🗣️🤔🤔👍👎,"[':fire:', ':speaker_high_volume:', ':speaking_head:', ':speaking_head:', ':thinking_face:', ':thinking_face:', ':thumbs_up:', ':thumbs_down:']",Metaphorical,EMOTIONALITY,3
hot topic,🤩💬,"[':star-struck:', ':speech_balloon:']",Metaphorical,EMOTIONALITY,3
hot topic,☀️🎙🗣,"[':sun:', ':studio_microphone:', ':speaking_head:']",Direct,EMOTIONALITY,3
hot topic,🔥🔥🔥🔥📰,"[':fire:', ':fire:', ':fire:', ':fire:', ':newspaper:']",Direct,EMOTIONALITY,2
hot topic,🔥💬,"[':fire:', ':speech_balloon:']",Direct,EMOTIONALITY,3
hot topic,🔥🗣️,"[':fire:', ':speaking_head:']",Direct,EMOTIONALITY,3
hot topic,🔥🗣️,"[':fire:', ':speaking_head:']",Direct,EMOTIONALITY,3
hot topic,🥵💬,"[':hot_face:', ':speech_balloon:']",Direct,EMOTIONALITY,3
hot merchandise,🔥👀✋🤚🙏🥺💰,"[':fire:', ':eyes:', ':raised_hand:', ':raised_back_of_hand:', ':folded_hands:', ':pleading_face:', ':money_bag:']",Metaphorical,LEGALITY,2
hot merchandise,🔥🔥👕🥿🕶️,"[':fire:', ':fire:', ':t-shirt:', ':flat_shoe:', ':sunglasses:']",Direct,LEGALITY,2
hot merchandise,🔥🎁🎁,"[':fire:', ':wrapped_gift:', ':wrapped_gift:']",Direct,LEGALITY,2
hot merchandise,🔥🏷,"[':fire:', ':label:']",Direct,LEGALITY,2
hot merchandise,🔥🛍️🧸👕👗✏️📔,"[':fire:', ':shopping_bags:', ':teddy_bear:', ':t-shirt:', ':dress:', ':pencil:', ':notebook_with_decorative_cover:']",Direct,LEGALITY,2
hot merchandise,🔥📱,"[':fire:', ':mobile_phone:']",Direct,LEGALITY,2
hot merchandise,🗨️👕,"[':left_speech_bubble:', ':t-shirt:']",Metaphorical,LEGALITY,3
hot merchandise,👍🧸👕,"[':thumbs_up:', ':teddy_bear:', ':t-shirt:']",Direct,LEGALITY,2
hot temper,"🔥,😐😡","[':fire:', ',', ':neutral_face:', ':pouting_face:']",Direct,EMOTIONALITY,5
hot temper,😤🤬🙅‍♂️🙅‍♂️,"[':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:', ':man_gesturing_NO:', ':man_gesturing_NO:']",Metaphorical,EMOTIONALITY,3
hot temper,😡😡,"[':pouting_face:', ':pouting_face:']",Reduplication,EMOTIONALITY,1
hot temper,😡😤🤬,"[':pouting_face:', ':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:']",Semantic list,EMOTIONALITY,1
hot temper,😡😤,"[':pouting_face:', ':face_with_steam_from_nose:']",Semantic list,EMOTIONALITY,1
hot temper,🔥😡,"[':fire:', ':pouting_face:']",Direct,EMOTIONALITY,3
hot temper,💢🤬,"[':anger_symbol:', ':face_with_symbols_on_mouth:']",Metaphorical,EMOTIONALITY,2
hot temper,😡🤬,"[':pouting_face:', ':face_with_symbols_on_mouth:']",Semantic list,EMOTIONALITY,1
hot argument,🔥🗣️✖️🗣️✔️📢,"[':fire:', ':speaking_head:', ':multiply:', ':speaking_head:', ':check_mark:', ':loudspeaker:']",Direct,EMOTIONALITY,4
hot argument,🙅🙅‍♂️😤🗯️,"[':person_gesturing_NO:', ':man_gesturing_NO:', ':face_with_steam_from_nose:', ':right_anger_bubble:']",Metaphorical,EMOTIONALITY,3
hot argument,😡🤬🗣,"[':pouting_face:', ':face_with_symbols_on_mouth:', ':speaking_head:']",Direct,EMOTIONALITY,3
hot argument,🤬🗣📣,"[':face_with_symbols_on_mouth:', ':speaking_head:', ':megaphone:']",Direct,EMOTIONALITY,3
hot argument,🤬💬😡,"[':face_with_symbols_on_mouth:', ':speech_balloon:', ':pouting_face:']",Direct,EMOTIONALITY,4
hot argument,🔥🤬,"[':fire:', ':face_with_symbols_on_mouth:']",Direct,EMOTIONALITY,3
hot argument,💢🗣️,"[':anger_symbol:', ':speaking_head:']",Direct,EMOTIONALITY,3
hot argument,🤬💬,"[':face_with_symbols_on_mouth:', ':speech_balloon:']",Direct,EMOTIONALITY,3
hot forehead,"☀️, 🤒🌡️😷😴🥶","[':sun:', ',', ':face_with_thermometer:', ':thermometer:', ':face_with_medical_mask:', ':sleeping_face:', ':cold_face:']",Metaphorical,TEMPERATURE,4
hot forehead,🥴🤒👨‍⚕️,"[':woozy_face:', ':face_with_thermometer:', ':man_health_worker:']",Metaphorical,TEMPERATURE,3
hot forehead,🔥🤒🌡,"[':fire:', ':face_with_thermometer:', ':thermometer:']",Metaphorical,TEMPERATURE,3
hot forehead,🥵🤒🤒,"[':hot_face:', ':face_with_thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE,2
hot forehead,🌡️🤒,"[':thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE,2
hot forehead,♨️🤯,"[':hot_springs:', ':exploding_head:']",Metaphorical,TEMPERATURE,3
hot forehead,🩺🤒,"[':stethoscope:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE,3
hot forehead,🤒🤕,"[':face_with_thermometer:', ':face_with_head-bandage:']",Metaphorical,TEMPERATURE,2
bright future,🎇🔮,"[':sparkler:', ':crystal_ball:']",Direct,AUSPICIOUSNESS,2
bright future,🔆🔮,"[':bright_button:', ':crystal_ball:']",Direct,AUSPICIOUSNESS,2
bright future,🌟🎓,"[':glowing_star:', ':graduation_cap:']",Metaphorical,AUSPICIOUSNESS,3
bright future,😎👨‍🔬👩‍⚕️🧑‍💻,"[':smiling_face_with_sunglasses:', ':man_scientist:', ':woman_health_worker:', ':technologist:']",Semantic list,AUSPICIOUSNESS,2
bright future,☀️🔮,"[':sun:', ':crystal_ball:']",Direct,AUSPICIOUSNESS,2
bright future,👨‍🔬👩‍🎓👨‍⚕️,"[':man_scientist:', ':woman_student:', ':man_health_worker:']",Semantic list,AUSPICIOUSNESS,1
bright future,☀️🌫,"[':sun:', ':fog:']",Direct,AUSPICIOUSNESS,3
bright future,⏳⏩👍👍,"[':hourglass_not_done:', ':fast-forward_button:', ':thumbs_up:', ':thumbs_up:']",Metaphorical,AUSPICIOUSNESS,4
bright sun,🎇☀️,"[':sparkler:', ':sun:']",Direct,LUMINOSITY,2
bright sun,🔆☀️,"[':bright_button:', ':sun:']",Direct,LUMINOSITY,2
bright sun,🌟🌤🌇🌅,"[':glowing_star:', ':sun_behind_small_cloud:', ':sunset:', ':sunrise:']",Semantic list,LUMINOSITY,1
bright sun,☀️🔆,"[':sun:', ':bright_button:']",Direct,LUMINOSITY,2
bright sun,✨☀️,"[':sparkles:', ':sun:']",Direct,LUMINOSITY,2
bright sun,☀️🌟,"[':sun:', ':glowing_star:']",Direct,LUMINOSITY,2
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY,1
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY,1
bright dress,🎇👗,"[':sparkler:', ':dress:']",Direct,COLOR,2
bright dress,🔆👗,"[':bright_button:', ':dress:']",Direct,COLOR,2
bright dress,✨👗,"[':sparkles:', ':dress:']",Direct,COLOR,2
bright dress,🔆👗💃,"[':bright_button:', ':dress:', ':woman_dancing:']",Direct,COLOR,3
bright dress,☀️🎨👗,"[':sun:', ':artist_palette:', ':dress:']",Direct,COLOR,3
bright dress,👗✨,"[':dress:', ':sparkles:']",Direct,COLOR,2
bright dress,☀️👗,"[':sun:', ':dress:']",Direct,COLOR,2
bright dress,👗✨,"[':dress:', ':sparkles:']",Direct,COLOR,2
bright room,🎇🏫,"[':sparkler:', ':school:']",Direct,LIGHT,2
bright room,🔆🚹🚺,"[':bright_button:', ':men’s_room:', ':women’s_room:']",Direct,LIGHT,2
bright room,✨🏠,"[':sparkles:', ':house:']",Direct,LIGHT,2
bright room,💡🕯️🏠,"[':light_bulb:', ':candle:', ':house:']",Direct,LIGHT,2
bright room,☀️🏫,"[':sun:', ':school:']",Direct,LIGHT,2
bright room,💡💒,"[':light_bulb:', ':wedding:']",Direct,LIGHT,2
bright room,☀️,[':sun:'],Single,LIGHT,1
bright room,☀️🏫,"[':sun:', ':school:']",Direct,LIGHT,2
dark shadow,🕶️🕴️,"[':sunglasses:', ':person_in_suit_levitating:']",Metaphorical,LIGHT,3
dark shadow,⚫👥,"[':black_circle:', ':busts_in_silhouette:']",Metaphorical,LIGHT,3
dark shadow,🕶🕶👤,"[':sunglasses:', ':sunglasses:', ':bust_in_silhouette:']",Metaphorical,LIGHT,2
dark shadow,❌💡🧍,"[':cross_mark:', ':light_bulb:', ':person_standing:']",Metaphorical,LIGHT,4
dark shadow,🌑👤,"[':new_moon:', ':bust_in_silhouette:']",Metaphorical,LIGHT,3
dark shadow,🌑,[':new_moon:'],Single,LIGHT,1
dark shadow,🌚,[':new_moon_face:'],Single,LIGHT,1
dark shadow,🌑🚹,"[':new_moon:', ':men’s_room:']",Metaphorical,LIGHT,3
dark day,🕶️🌅,"[':sunglasses:', ':sunrise:']",Direct,LIGHT,3
dark day,⚫📆,"[':black_circle:', ':tear-off_calendar:']",Direct,LIGHT,3
dark day,🌪🌫🌫,"[':tornado:', ':fog:', ':fog:']",Metaphorical,LIGHT,2
dark day,⛈️🌫️🌑,"[':cloud_with_lightning_and_rain:', ':fog:', ':new_moon:']",Metaphorical,LIGHT,2
dark day,🌑📆,"[':new_moon:', ':tear-off_calendar:']",Direct,LIGHT,3
dark day,😈👣,"[':smiling_face_with_horns:', ':footprints:']",Metaphorical,LIGHT,3
dark day,🌑,[':new_moon:'],Single,LIGHT,1
dark day,🌑🌃,"[':new_moon:', ':night_with_stars:']",Direct,LIGHT,2
dark glass,🕶️🥛,"[':sunglasses:', ':glass_of_milk:']",Direct,COLOR,3
dark glass,⚫🥛,"[':black_circle:', ':glass_of_milk:']",Direct,COLOR,3
dark glass,🕶🕶,"[':sunglasses:', ':sunglasses:']",Reduplication,COLOR,1
dark glass,🕶️,[':sunglasses:'],Single,COLOR,1
dark glass,🌑🍷,"[':new_moon:', ':wine_glass:']",Direct,COLOR,3
dark glass,👿,[':angry_face_with_horns:'],Single,COLOR,1
dark glass,🌃,[':night_with_stars:'],Single,COLOR,1
dark glass,🕶️,[':sunglasses:'],Single,COLOR,1
dark undercurrent,🕶️🌊,"[':sunglasses:', ':water_wave:']",Direct,EVIL,3
dark undercurrent,⚫🌊,"[':black_circle:', ':water_wave:']",Direct,EVIL,3
dark undercurrent,⚫️⛈,"[':black_circle:', '', ':cloud_with_lightning_and_rain:']",Direct,EVIL,3
dark undercurrent,🌑🌊💦,"[':new_moon:', ':water_wave:', ':sweat_droplets:']",Direct,EVIL,3
dark undercurrent,🌑🔞🌊,"[':new_moon:', ':no_one_under_eighteen:', ':water_wave:']",Direct,EVIL,4
dark undercurrent,👿😱😨,"[':angry_face_with_horns:', ':face_screaming_in_fear:', ':fearful_face:']",Semantic list,EVIL,1
dark undercurrent,♠️👿,"[':spade_suit:', ':angry_face_with_horns:']",Metaphorical,EVIL,3
dark undercurrent,😈📈,"[':smiling_face_with_horns:', ':chart_increasing:']",Metaphorical,EVIL,4
dark corner,🕶️🗳️,"[':sunglasses:', ':ballot_box_with_ballot:']",Direct,LIGHT,3
dark corner,⚫🧱,"[':black_circle:', ':brick:']",Direct,LIGHT,3
dark corner,🔦🚫🚫,"[':flashlight:', ':prohibited:', ':prohibited:']",Metaphorical,LIGHT,4
dark corner,🌑❌💡,"[':new_moon:', ':cross_mark:', ':light_bulb:']",Metaphorical,LIGHT,4
dark corner,🌑🏫🤫㊙️,"[':new_moon:', ':school:', ':shushing_face:', ':Japanese_secret_button:']",Metaphorical,LIGHT,3
dark corner,😨👹,"[':fearful_face:', ':ogre:']",Metaphorical,LIGHT,3
dark corner,🌑🪃,"[':new_moon:', ':boomerang:']",Direct,LIGHT,3
dark corner,🕶️🏠,"[':sunglasses:', ':house:']",Direct,LIGHT,3
dark purpose,🕶️👿,"[':sunglasses:', ':angry_face_with_horns:']",Metaphorical,EVIL,3
dark purpose,⚫😈,"[':black_circle:', ':smiling_face_with_horns:']",Metaphorical,EVIL,3
dark purpose,😈😈😈😈,"[':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL,1
dark purpose,🌑😵💀,"[':new_moon:', ':face_with_crossed-out_eyes:', ':skull:']",Metaphorical,EVIL,3
dark purpose,😈❓🤷‍♀️,"[':smiling_face_with_horns:', ':red_question_mark:', ':woman_shrugging:']",Metaphorical,EVIL,4
dark purpose,👿👹👺😏,"[':angry_face_with_horns:', ':ogre:', ':goblin:', ':smirking_face:']",Semantic list,EVIL,1
dark purpose,👿😈,"[':angry_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL,1
dark purpose,🌑😈👹,"[':new_moon:', ':smiling_face_with_horns:', ':ogre:']",Metaphorical,EVIL,2
right bank,👉🏞️,"[':backhand_index_pointing_right:', ':national_park:']",Direct,POSITION,5
right bank,👉🏦,"[':backhand_index_pointing_right:', ':bank:']",Direct,POSITION,5
right bank,➡️🏦💰,"[':right_arrow:', ':bank:', ':money_bag:']",Direct,POSITION,5
right bank,✅🏦,"[':check_mark_button:', ':bank:']",Direct,POSITION,3
right bank,✔️🏦,"[':check_mark:', ':bank:']",Direct,POSITION,3
right bank,👉🏦,"[':backhand_index_pointing_right:', ':bank:']",Direct,POSITION,5
right bank,👍🏦💰💰💰,"[':thumbs_up:', ':bank:', ':money_bag:', ':money_bag:', ':money_bag:']",Direct,POSITION,3
right bank,👍🏦💸💹,"[':thumbs_up:', ':bank:', ':money_with_wings:', ':chart_increasing_with_yen:']",Direct,POSITION,3
right hand,✋👉,"[':raised_hand:', ':backhand_index_pointing_right:']",Direct,POSITION,5
right hand,👉🖐,"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']",Direct,POSITION,5
right hand,➡️🖐,"[':right_arrow:', ':hand_with_fingers_splayed:']",Direct,POSITION,5
right hand,👉🖐,"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']",Direct,POSITION,5
right hand,👉🤚,"[':backhand_index_pointing_right:', ':raised_back_of_hand:']",Direct,POSITION,5
right hand,👉👋,"[':backhand_index_pointing_right:', ':waving_hand:']",Direct,POSITION,5
right hand,👉✔️,"[':backhand_index_pointing_right:', ':check_mark:']",Metaphorical,POSITION,5
right hand,🤲🤚,"[':palms_up_together:', ':raised_back_of_hand:']",Metaphorical,POSITION,4
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION,1
right side,👉👉,"[':backhand_index_pointing_right:', ':backhand_index_pointing_right:']",Reduplication,POSITION,1
right side,➡️💁‍♀️,"[':right_arrow:', ':woman_tipping_hand:']",Semantic list,POSITION,5
right side,👉🧍,"[':backhand_index_pointing_right:', ':person_standing:']",Metaphorical,POSITION,5
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION,1
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION,1
right side,👤👉,"[':bust_in_silhouette:', ':backhand_index_pointing_right:']",Metaphorical,POSITION,5
right side,➡️🧑‍🤝‍🧑👈,"[':right_arrow:', ':people_holding_hands:', ':backhand_index_pointing_left:']",Metaphorical,POSITION,5
right decision,✔️,[':check_mark:'],Single,CORRECTNESS,1
right decision,✔️💡👩👍,"[':check_mark:', ':light_bulb:', ':woman:', ':thumbs_up:']",Direct,CORRECTNESS,3
right decision,➡️🤝,"[':right_arrow:', ':handshake:']",Direct,CORRECTNESS,4
right decision,✅🧠,"[':check_mark_button:', ':brain:']",Direct,CORRECTNESS,3
right decision,👍,[':thumbs_up:'],Single,CORRECTNESS,1
right decision,✅,[':check_mark_button:'],Single,CORRECTNESS,1
right decision,🤔💭💡📈,"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':chart_increasing:']",Metaphorical,CORRECTNESS,4
right decision,🤔✅,"[':thinking_face:', ':check_mark_button:']",Metaphorical,CORRECTNESS,3
right answer,✔️,[':check_mark:'],Single,CORRECTNESS,1
right answer,✔️📄✍️,"[':check_mark:', ':page_facing_up:', ':writing_hand:']",Direct,CORRECTNESS,4
right answer,➡️✍️✅,"[':right_arrow:', ':writing_hand:', ':check_mark_button:']",Direct,CORRECTNESS,4
right answer,✅📝,"[':check_mark_button:', ':memo:']",Direct,CORRECTNESS,3
right answer,💯,[':hundred_points:'],Single,CORRECTNESS,1
right answer,✅,[':check_mark_button:'],Single,CORRECTNESS,1
right answer,🤔❓📝💡✏️✔️,"[':thinking_face:', ':red_question_mark:', ':memo:', ':light_bulb:', ':pencil:', ':check_mark:']",Metaphorical,CORRECTNESS,4
right answer,🙋‍♀️👍✅,"[':woman_raising_hand:', ':thumbs_up:', ':check_mark_button:']",Metaphorical,CORRECTNESS,4
right man,✔️👨,"[':check_mark:', ':man:']",Direct,APPROPRIATENESS,3
right man,✔️👨💕,"[':check_mark:', ':man:', ':two_hearts:']",Direct,APPROPRIATENESS,3
right man,➡️👨👌,"[':right_arrow:', ':man:', ':OK_hand:']",Direct,APPROPRIATENESS,4
right man,👍🕴️,"[':thumbs_up:', ':person_in_suit_levitating:']",Direct,APPROPRIATENESS,3
right man,👍👨,"[':thumbs_up:', ':man:']",Direct,APPROPRIATENESS,3
right man,👉👱🏻‍♂️,"[':backhand_index_pointing_right:', ':man_light_skin_tone_blond_hair:']",Direct,APPROPRIATENESS,4
